GeneSymbol	infected_vs_uninfected	infected_vs_uninfected_6mice
3632451O06Rik	n.s.	n.s.
3830403N18Rik	n.s.	n.s.
3830406C13Rik	n.s.	n.s.
3930402G23Rik	n.s.	n.s.
4430402I18Rik	n.s.	n.s.
4631405J19Rik	n.s.	n.s.
4632404H12Rik	n.s.	n.s.
4632415L05Rik	n.s.	n.s.
4632427E13Rik	n.s.	n.s.
4632428C04Rik	n.s.	n.s.
4732414G09Rik	n.s.	n.s.
4732491K20Rik	n.s.	n.s.
4833412C05Rik	n.s.	n.s.
4833418N02Rik	n.s.	n.s.
4833420G17Rik	n.s.	n.s.
4833422C13Rik	n.s.	n.s.
4833423E24Rik	n.s.	n.s.
4833427F10Rik	n.s.	n.s.
4833439L19Rik	n.s.	n.s.
4921504A21Rik	n.s.	n.s.
4921507P07Rik	n.s.	n.s.
4921524J17Rik	n.s.	n.s.
4921531C22Rik	n.s.	n.s.
4921534H16Rik	n.s.	n.s.
4921536K21Rik	n.s.	n.s.
4930402H24Rik	n.s.	n.s.
4930403D09Rik	n.s.	n.s.
4930404N11Rik	n.s.	n.s.
4930405O22Rik	n.s.	n.s.
4930415O20Rik	n.s.	n.s.
4930426L09Rik	n.s.	n.s.
4930429F24Rik	n.s.	n.s.
4930430F08Rik	n.s.	n.s.
4930432K21Rik	n.s.	n.s.
4930444M15Rik	n.s.	n.s.
4930447A16Rik	n.s.	n.s.
4930448H16Rik	n.s.	n.s.
4930452B06Rik	n.s.	n.s.
4930453N24Rik	n.s.	n.s.
4930473A02Rik	n.s.	n.s.
4930481A15Rik	n.s.	n.s.
4930502E09Rik	n.s.	n.s.
4930503B20Rik	n.s.	n.s.
4930503L19Rik	n.s.	n.s.
4930505A04Rik	n.s.	n.s.
4930506C21Rik	n.s.	n.s.
4930511M06Rik	n.s.	n.s.
4930513N10Rik	n.s.	n.s.
4930515G01Rik	n.s.	n.s.
4930519G04Rik	n.s.	n.s.
4930520O04Rik	n.s.	n.s.
4930522L14Rik	n.s.	n.s.
4930523C07Rik	n.s.	n.s.
4930525G20Rik	n.s.	n.s.
4930526L06Rik	n.s.	n.s.
4930539E08Rik	n.s.	n.s.
4930539J05Rik	n.s.	n.s.
4930544D05Rik	n.s.	n.s.
4930545L23Rik	n.s.	n.s.
4930550C14Rik	n.s.	n.s.
4930554G24Rik	n.s.	n.s.
4930556N13Rik	n.s.	n.s.
4930562C15Rik	n.s.	n.s.
4930562F07Rik	n.s.	n.s.
4930563D23Rik	n.s.	n.s.
4930564D02Rik	n.s.	n.s.
4930565N06Rik	n.s.	n.s.
4930570G19Rik	n.s.	n.s.
4930577N17Rik	n.s.	n.s.
4930578C19Rik	n.s.	n.s.
4930579G24Rik	n.s.	n.s.
4930579H20Rik	n.s.	n.s.
4930581F22Rik	n.s.	n.s.
4930595D18Rik	n.s.	n.s.
4930599N23Rik	n.s.	n.s.
4931406C07Rik	n.s.	n.s.
4931406P16Rik	n.s.	n.s.
4931414P19Rik	n.s.	n.s.
4931415C17Rik	n.s.	n.s.
4931428F04Rik	n.s.	n.s.
4931431C16Rik	n.s.	n.s.
4931440P22Rik	n.s.	n.s.
4932413F04Rik	n.s.	n.s.
4932435O22Rik	n.s.	n.s.
4932438A13Rik	n.s.	n.s.
4932441J04Rik	n.s.	n.s.
4932702P03Rik	n.s.	n.s.
4933404O12Rik	n.s.	n.s.
4933405L10Rik	n.s.	n.s.
4933406C10Rik	n.s.	n.s.
4933406J10Rik	n.s.	n.s.
4933407K13Rik	n.s.	n.s.
4933407L21Rik	n.s.	n.s.
4933408J17Rik	n.s.	n.s.
4933413J09Rik	n.s.	n.s.
4933416C03Rik	n.s.	n.s.
4933416I08Rik	n.s.	n.s.
4933417D19Rik	n.s.	n.s.
4933421O10Rik	n.s.	n.s.
4933424M12Rik	n.s.	n.s.
4933425L06Rik	n.s.	n.s.
4933427D14Rik	n.s.	n.s.
4933428G20Rik	n.s.	n.s.
4933430I17Rik	n.s.	n.s.
4933431E20Rik	n.s.	n.s.
4933439C10Rik	n.s.	n.s.
4933439K11Rik	n.s.	n.s.
4933440M02Rik	n.s.	n.s.
5031425E22Rik	n.s.	n.s.
5031439G07Rik	n.s.	n.s.
5033417F24Rik	n.s.	n.s.
5033428I22Rik	n.s.	n.s.
5330417C22Rik	n.s.	n.s.
5430405H02Rik	n.s.	n.s.
5530601H04Rik	n.s.	n.s.
5730405O15Rik	n.s.	n.s.
5730409E04Rik	n.s.	n.s.
5730420D15Rik	n.s.	n.s.
5730422E09Rik	n.s.	n.s.
5730435O14Rik	n.s.	n.s.
5730455P16Rik	n.s.	n.s.
5730559C18Rik	n.s.	n.s.
5730596B20Rik	n.s.	n.s.
5830432E09Rik	n.s.	n.s.
5830444B04Rik	n.s.	n.s.
5830454E08Rik	n.s.	n.s.
5930412G12Rik	n.s.	n.s.
6030408B16Rik	n.s.	n.s.
6030419C18Rik	n.s.	n.s.
6030443J06Rik	n.s.	n.s.
6030458C11Rik	n.s.	n.s.
6030468B19Rik	n.s.	n.s.
6230400D17Rik	n.s.	n.s.
6330418K02Rik	n.s.	n.s.
6330549D23Rik	n.s.	n.s.
6430531B16Rik	n.s.	n.s.
6430548M08Rik	n.s.	n.s.
6430550D23Rik	n.s.	n.s.
6430571L13Rik	n.s.	n.s.
6430573F11Rik	n.s.	n.s.
6530402F18Rik	n.s.	n.s.
6720489N17Rik	n.s.	n.s.
6820408C15Rik	n.s.	n.s.
6820431F20Rik	n.s.	n.s.
8030462N17Rik	n.s.	n.s.
8430408G22Rik	n.s.	Up
8430423G03Rik	n.s.	n.s.
8430429K09Rik	n.s.	n.s.
9030612E09Rik	n.s.	n.s.
9030624G23Rik,Gm9257,Gm3973,Gm10476,LOC102639021,Gm40847,Gm40862	n.s.	n.s.
9030624J02Rik	n.s.	n.s.
9130008F23Rik	n.s.	n.s.
9130011E15Rik	n.s.	n.s.
9130015L21Rik	n.s.	n.s.
9130019O22Rik	n.s.	n.s.
9130019P16Rik	n.s.	n.s.
9130023H24Rik	n.s.	n.s.
9130221H12Rik	n.s.	n.s.
9130230L23Rik	n.s.	n.s.
9130401M01Rik	n.s.	n.s.
9230105E05Rik	n.s.	n.s.
9230110C19Rik	n.s.	n.s.
9230114K14Rik	n.s.	n.s.
9230116N13Rik	n.s.	n.s.
9330104G04Rik	n.s.	n.s.
9330136K24Rik	n.s.	n.s.
9330151L19Rik	n.s.	n.s.
9330158H04Rik	n.s.	n.s.
9330159F19Rik	n.s.	n.s.
9330159M07Rik	n.s.	n.s.
9330179D12Rik	n.s.	n.s.
9330182L06Rik	n.s.	n.s.
9430015G10Rik	n.s.	n.s.
9430037G07Rik	n.s.	n.s.
9430038I01Rik	n.s.	n.s.
9530026P05Rik	n.s.	n.s.
9530068E07Rik	n.s.	n.s.
9530077C05Rik	n.s.	n.s.
9530082P21Rik	n.s.	n.s.
9830107B12Rik	n.s.	n.s.
9930021J03Rik	n.s.	n.s.
9930111H07Rik	n.s.	n.s.
9930111J21Rik1	n.s.	n.s.
9930111J21Rik2	n.s.	n.s.
A130010J15Rik	n.s.	n.s.
A230050P20Rik	n.s.	n.s.
A230052G05Rik	n.s.	n.s.
A330009N23Rik	n.s.	n.s.
A330023F24Rik	n.s.	n.s.
A330032B11Rik	n.s.	n.s.
A330033J07Rik	n.s.	n.s.
A330041J22Rik	n.s.	n.s.
A330048O09Rik	n.s.	n.s.
A330069E16Rik	n.s.	n.s.
A330074K22Rik	n.s.	n.s.
A3galt2	n.s.	n.s.
A430005L14Rik	n.s.	n.s.
A430033K04Rik	n.s.	n.s.
A430035B10Rik	n.s.	n.s.
A430046D13Rik	n.s.	n.s.
A430078I02Rik	n.s.	n.s.
A430105I19Rik	n.s.	n.s.
A430108G06Rik	n.s.	n.s.
A430110L20Rik	n.s.	n.s.
A4galt	n.s.	n.s.
A4gnt	n.s.	n.s.
A530013C23Rik	n.s.	n.s.
A530064D06Rik	n.s.	n.s.
A530072M11Rik	n.s.	n.s.
A630072M18Rik	n.s.	n.s.
A730008H23Rik,Hjurp	n.s.	n.s.
A730017C20Rik	n.s.	n.s.
A730020M07Rik	n.s.	n.s.
A730049H05Rik	n.s.	n.s.
A730056A06Rik	n.s.	n.s.
A830011K09Rik	n.s.	n.s.
A830052D11Rik	n.s.	n.s.
A930001A20Rik	n.s.	n.s.
A930001C03Rik	n.s.	n.s.
A930004D18Rik	n.s.	n.s.
A930006K02Rik	n.s.	n.s.
A930007I19Rik	n.s.	n.s.
A930009A15Rik	n.s.	n.s.
A930011G23Rik,Rasgef1b	n.s.	n.s.
A930024E05Rik	n.s.	n.s.
A930033H14Rik	n.s.	n.s.
AA465934	n.s.	n.s.
AA467197	n.s.	n.s.
AA986860	n.s.	n.s.
Aaas	n.s.	n.s.
Aacs	n.s.	n.s.
Aaed1	n.s.	n.s.
Aagab	n.s.	n.s.
Aak1	n.s.	n.s.
Aamdc	n.s.	n.s.
Aamp	n.s.	n.s.
Aar2	n.s.	n.s.
Aard	n.s.	n.s.
Aars	n.s.	n.s.
Aars2	n.s.	n.s.
Aarsd1	n.s.	n.s.
Aasdh	n.s.	n.s.
Aasdhppt	n.s.	n.s.
Aatf	n.s.	n.s.
Aatk	n.s.	n.s.
Abat	n.s.	n.s.
Abca1	n.s.	n.s.
Abca14	n.s.	n.s.
Abca2	n.s.	n.s.
Abca3	n.s.	n.s.
Abca4	n.s.	n.s.
Abca5	n.s.	n.s.
Abca6	n.s.	n.s.
Abca7	n.s.	n.s.
Abca8a	n.s.	n.s.
Abca8b	n.s.	n.s.
Abca9	n.s.	n.s.
Abcb10	n.s.	n.s.
Abcb1a	n.s.	n.s.
Abcb1b	n.s.	n.s.
Abcb4	n.s.	n.s.
Abcb6	n.s.	n.s.
Abcb7	n.s.	n.s.
Abcb8	n.s.	n.s.
Abcb9	n.s.	n.s.
Abcc1	n.s.	n.s.
Abcc10	n.s.	n.s.
Abcc12	n.s.	n.s.
Abcc3	n.s.	n.s.
Abcc4	n.s.	n.s.
Abcc5	n.s.	n.s.
Abcc6	n.s.	n.s.
Abcc8	n.s.	n.s.
Abcc9	n.s.	n.s.
Abcd1	n.s.	n.s.
Abcd2	n.s.	n.s.
Abcd3	n.s.	n.s.
Abcd4	n.s.	n.s.
Abce1	n.s.	n.s.
Abcf1	n.s.	n.s.
Abcf2	n.s.	n.s.
Abcf3	n.s.	n.s.
Abcg1	n.s.	Up
Abcg2	n.s.	n.s.
Abcg3	n.s.	n.s.
Abcg4	n.s.	n.s.
Abhd1	n.s.	n.s.
Abhd10	n.s.	n.s.
Abhd11	n.s.	n.s.
Abhd11os	n.s.	n.s.
Abhd12	n.s.	n.s.
Abhd13	n.s.	n.s.
Abhd14a	n.s.	n.s.
Abhd14b	n.s.	n.s.
Abhd15	n.s.	n.s.
Abhd16a	n.s.	n.s.
Abhd16b	n.s.	n.s.
Abhd17a	n.s.	n.s.
Abhd17b	n.s.	n.s.
Abhd17c	n.s.	n.s.
Abhd18	n.s.	n.s.
Abhd2	n.s.	n.s.
Abhd3	n.s.	n.s.
Abhd4	n.s.	n.s.
Abhd5	n.s.	n.s.
Abhd6	n.s.	n.s.
Abhd8	n.s.	n.s.
Abi1	n.s.	n.s.
Abi2	n.s.	n.s.
Abi3	n.s.	n.s.
Abi3bp	n.s.	Down
Abl1	n.s.	n.s.
Abl2	n.s.	n.s.
Ablim1	n.s.	n.s.
Ablim2	n.s.	n.s.
Ablim3	n.s.	n.s.
Abo	n.s.	n.s.
Abr	n.s.	n.s.
Abracl	n.s.	n.s.
Abraxas1	n.s.	Down
Abraxas2	n.s.	n.s.
Abt1	n.s.	n.s.
Abtb1	n.s.	n.s.
Abtb2	n.s.	n.s.
Acaa1a	n.s.	n.s.
Acaa2	n.s.	n.s.
Acaca	n.s.	n.s.
Acacb	n.s.	n.s.
Acad10	n.s.	n.s.
Acad10,Acad12	n.s.	n.s.
Acad11	n.s.	n.s.
Acad8	n.s.	n.s.
Acad9	n.s.	n.s.
Acadl	n.s.	n.s.
Acadm	n.s.	n.s.
Acads	n.s.	n.s.
Acadsb	n.s.	n.s.
Acadvl	n.s.	n.s.
Acan	n.s.	n.s.
Acap2	n.s.	n.s.
Acap3	n.s.	n.s.
Acat1	n.s.	n.s.
Acat2	n.s.	n.s.
Acbd3	n.s.	n.s.
Acbd4	n.s.	n.s.
Acbd5	n.s.	n.s.
Acbd6	n.s.	n.s.
Accs	n.s.	n.s.
Acd	n.s.	n.s.
Ace	n.s.	n.s.
Ace2	n.s.	n.s.
Acer2	n.s.	n.s.
Acer3	n.s.	n.s.
Ache	n.s.	n.s.
Acin1	n.s.	n.s.
Ackr1	n.s.	n.s.
Ackr2	n.s.	n.s.
Ackr3	n.s.	n.s.
Ackr4	n.s.	n.s.
Acly	n.s.	n.s.
Acnat1	n.s.	n.s.
Aco1	n.s.	n.s.
Aco2	n.s.	n.s.
Acod1	n.s.	n.s.
Acot1	n.s.	n.s.
Acot11	n.s.	n.s.
Acot12	n.s.	n.s.
Acot13	n.s.	n.s.
Acot2	n.s.	n.s.
Acot6	n.s.	n.s.
Acot7	n.s.	n.s.
Acot8	n.s.	n.s.
