GeneSymbol	infected_vs_uninfected	infected_vs_uninfected_6mice
Mcm9	n.s.	n.s.
Mcmbp	n.s.	n.s.
Mcmdc2	n.s.	n.s.
Mcoln1	n.s.	n.s.
Mcph1	n.s.	n.s.
Mcpt4	n.s.	n.s.
Mcrip1	n.s.	n.s.
Mcrip2	n.s.	n.s.
Mcrs1	n.s.	n.s.
Mctp1	n.s.	n.s.
Mctp2	n.s.	n.s.
Mcts1	n.s.	n.s.
Mcts2	n.s.	n.s.
Mcu	n.s.	n.s.
Mcub	n.s.	n.s.
Mcur1	n.s.	n.s.
Mdc1	n.s.	n.s.
Mdfi	n.s.	n.s.
Mdfic	n.s.	n.s.
Mdga1	n.s.	n.s.
Mdga2	n.s.	n.s.
Mdh1	n.s.	n.s.
Mdh2	n.s.	n.s.
Mdk	n.s.	n.s.
Mdm1	n.s.	n.s.
Mdm2	n.s.	n.s.
Mdm4	n.s.	n.s.
Mdn1	n.s.	n.s.
Mdp1	n.s.	n.s.
Me1	n.s.	n.s.
Me2	n.s.	n.s.
Me3	n.s.	n.s.
Mea1	n.s.	n.s.
Meaf6	n.s.	n.s.
Mecom	n.s.	n.s.
Mecp2	n.s.	n.s.
Mecr	n.s.	n.s.
Med1	n.s.	n.s.
Med11	n.s.	n.s.
Med12	n.s.	n.s.
Med12l	n.s.	n.s.
Med13	n.s.	n.s.
Med13l	n.s.	n.s.
Med14	n.s.	n.s.
Med15	n.s.	n.s.
Med16	n.s.	n.s.
Med17	n.s.	n.s.
Med18	n.s.	n.s.
Med19	n.s.	n.s.
Med20	n.s.	n.s.
Med21	n.s.	n.s.
Med22	n.s.	n.s.
Med23	n.s.	n.s.
Med24	n.s.	n.s.
Med25	n.s.	n.s.
Med26	n.s.	n.s.
Med27	n.s.	n.s.
Med28	n.s.	n.s.
Med29	n.s.	n.s.
Med30	n.s.	n.s.
Med31	n.s.	n.s.
Med4	n.s.	n.s.
Med6	n.s.	n.s.
Med7	n.s.	n.s.
Med8	n.s.	n.s.
Med9	n.s.	n.s.
Medag	n.s.	n.s.
Mef2a	n.s.	n.s.
Mef2c	n.s.	n.s.
Mef2d	n.s.	n.s.
Meg3	n.s.	n.s.
Megf10	n.s.	n.s.
Megf11	n.s.	n.s.
Megf6	n.s.	n.s.
Megf8	n.s.	n.s.
Megf9	n.s.	n.s.
Meis1	n.s.	n.s.
Meis2	n.s.	n.s.
Meis3	n.s.	n.s.
Melk	n.s.	n.s.
Memo1	n.s.	n.s.
Men1	n.s.	n.s.
Meox1	n.s.	n.s.
Meox2	n.s.	n.s.
Mepce	n.s.	n.s.
Mertk	n.s.	n.s.
Mesd	n.s.	n.s.
Mest	n.s.	n.s.
Met	n.s.	n.s.
Metap1	n.s.	n.s.
Metap1d	n.s.	n.s.
Metap2	n.s.	n.s.
Metrn	n.s.	n.s.
Metrnl	n.s.	n.s.
Mettl1	n.s.	n.s.
Mettl13	n.s.	n.s.
Mettl14	n.s.	n.s.
Mettl15	n.s.	n.s.
Mettl16	n.s.	n.s.
Mettl17	n.s.	n.s.
Mettl18	n.s.	n.s.
Mettl2	n.s.	n.s.
Mettl21a	n.s.	n.s.
Mettl21b	n.s.	n.s.
Mettl21e	n.s.	n.s.
Mettl22	n.s.	n.s.
Mettl23	n.s.	n.s.
Mettl24	n.s.	n.s.
Mettl25	n.s.	n.s.
Mettl26	n.s.	n.s.
Mettl27	n.s.	n.s.
Mettl3	n.s.	n.s.
Mettl4	n.s.	n.s.
Mettl5	n.s.	n.s.
Mettl6	n.s.	n.s.
Mettl7a1	n.s.	n.s.
Mettl7b	n.s.	n.s.
Mettl8	n.s.	n.s.
Mettl9	n.s.	n.s.
Mex3a	n.s.	n.s.
Mex3b	n.s.	n.s.
Mex3c	n.s.	n.s.
Mex3d	n.s.	n.s.
Mfap1a	n.s.	n.s.
Mfap1b	n.s.	n.s.
Mfap2	n.s.	n.s.
Mfap3	n.s.	n.s.
Mfap3l	n.s.	n.s.
Mfap4	n.s.	n.s.
Mfap5	n.s.	n.s.
Mff	n.s.	n.s.
Mfge8	n.s.	n.s.
Mfhas1	n.s.	n.s.
Mfn1	n.s.	n.s.
Mfn2	n.s.	n.s.
Mfng	n.s.	n.s.
Mfrp	n.s.	n.s.
Mfsd1	n.s.	n.s.
Mfsd10	n.s.	n.s.
Mfsd11	n.s.	n.s.
Mfsd12	n.s.	n.s.
Mfsd13a	n.s.	n.s.
Mfsd14a	n.s.	n.s.
Mfsd14b	n.s.	n.s.
Mfsd2a	n.s.	n.s.
Mfsd2b	n.s.	n.s.
Mfsd3	n.s.	n.s.
Mfsd4a	n.s.	n.s.
Mfsd4b1	n.s.	n.s.
Mfsd4b3	n.s.	n.s.
Mfsd5	n.s.	n.s.
Mfsd6	n.s.	n.s.
Mfsd7a	n.s.	n.s.
Mfsd8	n.s.	n.s.
Mfsd9	n.s.	n.s.
Mga	n.s.	n.s.
Mgarp	n.s.	n.s.
Mgat1	n.s.	n.s.
Mgat2	n.s.	n.s.
Mgat3	n.s.	n.s.
Mgat4a	n.s.	n.s.
Mgat4b	n.s.	n.s.
Mgat5	n.s.	n.s.
Mgea5	n.s.	n.s.
Mgl2	n.s.	n.s.
Mgll	n.s.	n.s.
Mgme1	n.s.	n.s.
Mgmt	n.s.	n.s.
Mgp	n.s.	Down
Mgrn1	n.s.	n.s.
Mgst1	n.s.	n.s.
Mgst2	n.s.	n.s.
Mgst3	n.s.	n.s.
Mia2	n.s.	n.s.
Mib1	n.s.	n.s.
Mib2	n.s.	n.s.
Mical1	n.s.	n.s.
Mical2	n.s.	n.s.
Mical3	n.s.	n.s.
Micalcl	n.s.	n.s.
Micall1	n.s.	n.s.
Micall2	n.s.	n.s.
Micu1	n.s.	n.s.
Micu2	n.s.	n.s.
Micu3	n.s.	n.s.
Mid1	n.s.	n.s.
Mid1ip1	n.s.	n.s.
Mid2	n.s.	n.s.
Midn	n.s.	n.s.
Mief1	n.s.	n.s.
Mief2	n.s.	n.s.
Mien1	n.s.	n.s.
Mier1	n.s.	n.s.
Mier2	n.s.	n.s.
Mier3	n.s.	n.s.
Mif	n.s.	n.s.
Mif4gd	n.s.	n.s.
Miga1	n.s.	n.s.
Miga2	n.s.	n.s.
Miip	n.s.	n.s.
Mill2	n.s.	n.s.
Milr1	n.s.	n.s.
Mindy1	n.s.	n.s.
Mindy2	n.s.	n.s.
Mindy3	n.s.	n.s.
Mindy4	n.s.	n.s.
Mink1	n.s.	n.s.
Minos1	n.s.	n.s.
Minpp1	n.s.	n.s.
Mios	n.s.	n.s.
Mipep	n.s.	n.s.
Mipol1	n.s.	n.s.
Mir1191	n.s.	n.s.
Mir1192	n.s.	n.s.
Mir143	n.s.	n.s.
Mir151	n.s.	n.s.
Mir1904	n.s.	n.s.
Mir1931	n.s.	n.s.
Mir1932	n.s.	n.s.
Mir1933	n.s.	n.s.
Mir1938	n.s.	n.s.
Mir193a	n.s.	n.s.
Mir1955	n.s.	n.s.
Mir1956	n.s.	n.s.
Mir1957a	n.s.	n.s.
Mir1961	n.s.	n.s.
Mir1964	n.s.	n.s.
Mir22hg	n.s.	n.s.
Mir23a	n.s.	n.s.
Mir26a-1	n.s.	n.s.
Mir26b	n.s.	n.s.
Mir27a	n.s.	n.s.
Mir3058	n.s.	n.s.
Mir3075	n.s.	n.s.
Mir3080	n.s.	n.s.
Mir3094	n.s.	n.s.
Mir3108	n.s.	n.s.
Mir361	n.s.	n.s.
Mir378c	n.s.	n.s.
Mir425	n.s.	n.s.
Mir455	n.s.	n.s.
Mir467f	n.s.	n.s.
Mir503	n.s.	n.s.
Mir5103	n.s.	n.s.
Mir5106	n.s.	n.s.
Mir5107	n.s.	n.s.
Mir5110	n.s.	n.s.
Mir5124a	n.s.	n.s.
Mir5125	n.s.	n.s.
Mir5616	n.s.	n.s.
Mir5620	n.s.	n.s.
Mir5709	n.s.	n.s.
Mir5710	n.s.	n.s.
Mir6236	n.s.	n.s.
Mir6240	n.s.	n.s.
Mir6346	n.s.	n.s.
Mir6368	n.s.	n.s.
Mir6386	n.s.	n.s.
Mir6397	n.s.	n.s.
Mir6400	n.s.	n.s.
Mir6415	n.s.	n.s.
Mir6538	n.s.	n.s.
Mir669n	n.s.	n.s.
Mir673	n.s.	n.s.
Mir6907	n.s.	n.s.
Mir6940	n.s.	n.s.
Mir6942	n.s.	n.s.
Mir6968	n.s.	n.s.
Mir698	n.s.	n.s.
Mir6986	n.s.	n.s.
Mir701	n.s.	n.s.
Mir7048	n.s.	n.s.
Mir7060	n.s.	n.s.
Mir7072	n.s.	n.s.
Mir7078	n.s.	n.s.
Mir7082	n.s.	n.s.
Mir7087	n.s.	n.s.
Mir7212	n.s.	n.s.
Mir7221	n.s.	n.s.
Mir7237	n.s.	n.s.
Mir7651	n.s.	n.s.
Mir7664	n.s.	n.s.
Mir8091	n.s.	n.s.
Mir8094	n.s.	n.s.
Mir8100	n.s.	n.s.
Mir8116	n.s.	n.s.
Mir8120	n.s.	n.s.
Mir99ahg	n.s.	n.s.
Mirg	n.s.	n.s.
Mirlet7b	n.s.	n.s.
Mirlet7c-2	n.s.	n.s.
Mirlet7g	n.s.	n.s.
Mirlet7i	n.s.	n.s.
Mirt1	n.s.	n.s.
Mis12	Down	Down
Mis18a	n.s.	n.s.
Misp	n.s.	n.s.
Mitd1	n.s.	n.s.
Mitf	n.s.	n.s.
Mki67	n.s.	n.s.
Mkks	n.s.	n.s.
Mkl1	n.s.	n.s.
Mkl2	n.s.	n.s.
Mkln1	n.s.	n.s.
Mkln1os	n.s.	n.s.
Mknk1	n.s.	n.s.
Mknk2	n.s.	n.s.
Mkrn1	n.s.	n.s.
Mkrn2	n.s.	n.s.
Mkrn2os	n.s.	n.s.
Mkrn3	n.s.	n.s.
Mks1	n.s.	n.s.
Mkx	n.s.	n.s.
Mlec	n.s.	n.s.
Mlf1	n.s.	n.s.
Mlf2	n.s.	n.s.
Mlh1	n.s.	n.s.
Mlh3	n.s.	n.s.
Mlkl	n.s.	n.s.
Mllt1	n.s.	n.s.
Mllt10	n.s.	n.s.
Mllt11	n.s.	n.s.
Mllt3	n.s.	n.s.
Mllt6	n.s.	n.s.
Mlph	n.s.	n.s.
Mlst8	n.s.	n.s.
Mlx	n.s.	n.s.
Mlxip	n.s.	n.s.
Mlxipl	n.s.	n.s.
Mlycd	n.s.	n.s.
Mmaa	n.s.	n.s.
Mmab	n.s.	n.s.
Mmachc	n.s.	n.s.
Mmadhc	n.s.	n.s.
Mmd	n.s.	n.s.
Mmd2	n.s.	n.s.
Mme	n.s.	n.s.
Mmel1	n.s.	n.s.
Mmgt1	n.s.	n.s.
Mmgt2	n.s.	n.s.
Mmp11	n.s.	n.s.
Mmp12	n.s.	n.s.
Mmp13	n.s.	n.s.
Mmp14	n.s.	Down
Mmp15	n.s.	n.s.
Mmp16	n.s.	n.s.
Mmp17	n.s.	n.s.
Mmp19	n.s.	n.s.
Mmp2	n.s.	Down
Mmp23	n.s.	n.s.
Mmp24	n.s.	n.s.
Mmp25	n.s.	n.s.
Mmp28	n.s.	n.s.
Mmp3	n.s.	n.s.
Mmp9	n.s.	n.s.
Mmrn1	n.s.	n.s.
Mmrn2	n.s.	n.s.
Mms19	n.s.	n.s.
Mms22l	n.s.	n.s.
Mn1	n.s.	n.s.
Mnat1	n.s.	n.s.
Mnd1	n.s.	n.s.
Mndal	n.s.	n.s.
Mns1	n.s.	n.s.
Mnt	n.s.	n.s.
Mob1a	n.s.	n.s.
Mob1b	n.s.	n.s.
Mob2	n.s.	n.s.
Mob3a	n.s.	n.s.
Mob3b	n.s.	n.s.
Mob3c	n.s.	n.s.
Mob4	n.s.	n.s.
Mocos	n.s.	n.s.
Mocs1	n.s.	n.s.
Mocs2	n.s.	n.s.
Mocs3	n.s.	n.s.
Mogat1	n.s.	n.s.
Mogs	n.s.	n.s.
Mok	n.s.	n.s.
Mon1a	n.s.	n.s.
Mon1b	n.s.	n.s.
Mon2	n.s.	n.s.
Morc2a	n.s.	n.s.
Morc2b	n.s.	n.s.
Morc3	n.s.	n.s.
Morc4	n.s.	n.s.
Morf4l1,Morf4l1b	n.s.	n.s.
Morf4l2	n.s.	n.s.
Morn1	n.s.	n.s.
Morn2	n.s.	n.s.
Morn3	n.s.	n.s.
Morn4	n.s.	n.s.
Mospd1	n.s.	n.s.
Mospd2	n.s.	n.s.
Mospd3	n.s.	n.s.
Mov10	n.s.	n.s.
Moxd1	n.s.	n.s.
Mpc1	n.s.	n.s.
Mpc2	n.s.	n.s.
Mpdu1	n.s.	n.s.
Mpdz	n.s.	n.s.
Mpeg1	n.s.	n.s.
Mpg	n.s.	n.s.
Mphosph10	n.s.	n.s.
Mphosph6	n.s.	n.s.
Mphosph8	n.s.	n.s.
Mphosph9	n.s.	n.s.
Mpi	n.s.	n.s.
Mpig6b	n.s.	n.s.
Mpl	n.s.	n.s.
Mplkip	n.s.	n.s.
Mpnd	n.s.	n.s.
Mpo	n.s.	n.s.
Mpp1	n.s.	n.s.
Mpp2	n.s.	n.s.
Mpp3	n.s.	n.s.
Mpp5	n.s.	n.s.
Mpp6	n.s.	n.s.
Mpp7	n.s.	n.s.
Mppe1	n.s.	n.s.
Mpped2	n.s.	n.s.
Mprip	n.s.	n.s.
Mpst	n.s.	n.s.
Mpv17l	n.s.	n.s.
Mpv17l2	n.s.	n.s.
Mpzl1	n.s.	Down
Mpzl2	n.s.	n.s.
Mpzl3	n.s.	n.s.
Mr1	n.s.	n.s.
Mras	n.s.	n.s.
Mrc1	n.s.	n.s.
Mrc2	n.s.	n.s.
Mre11a	n.s.	n.s.
Mreg	n.s.	n.s.
Mrfap1	n.s.	n.s.
Mrgbp	n.s.	n.s.
Mrgpre	n.s.	n.s.
Mrgprf	n.s.	n.s.
Mrgprh	n.s.	Up
Mri1	n.s.	n.s.
Mrm1	n.s.	n.s.
Mrm2	n.s.	n.s.
Mrm3	n.s.	n.s.
Mrnip	n.s.	n.s.
Mroh1	n.s.	n.s.
Mroh2a	n.s.	n.s.
Mroh5	n.s.	n.s.
Mroh6	n.s.	n.s.
Mroh7	n.s.	n.s.
Mrpl1	n.s.	n.s.
Mrpl10	n.s.	n.s.
Mrpl11	n.s.	n.s.
Mrpl12	n.s.	n.s.
Mrpl13	n.s.	n.s.
Mrpl14	n.s.	n.s.
Mrpl15	n.s.	n.s.
Mrpl16	n.s.	n.s.
Mrpl17	n.s.	n.s.
Mrpl18	n.s.	n.s.
Mrpl19	n.s.	n.s.
Mrpl2	n.s.	n.s.
Mrpl20	n.s.	n.s.
Mrpl21	n.s.	n.s.
Mrpl22	n.s.	n.s.
Mrpl23	n.s.	n.s.
Mrpl24	n.s.	n.s.
Mrpl27	n.s.	n.s.
Mrpl28	n.s.	n.s.
Mrpl3	n.s.	n.s.
Mrpl30	n.s.	n.s.
Mrpl32	n.s.	n.s.
Mrpl34	n.s.	n.s.
Mrpl35	n.s.	n.s.
Mrpl36	n.s.	n.s.
Mrpl37	n.s.	n.s.
Mrpl38	n.s.	n.s.
Mrpl39	n.s.	n.s.
Mrpl4	n.s.	n.s.
Mrpl40	n.s.	n.s.
Mrpl41	n.s.	n.s.
Mrpl42	n.s.	n.s.
Mrpl43	n.s.	n.s.
Mrpl45	n.s.	n.s.
Mrpl46	n.s.	n.s.
Mrpl47	n.s.	n.s.
Mrpl48	n.s.	n.s.
Mrpl49	n.s.	n.s.
Mrpl50	n.s.	n.s.
Mrpl51	n.s.	n.s.
Mrpl52	n.s.	n.s.
Mrpl54	n.s.	n.s.
Mrpl55	n.s.	n.s.
Mrpl57	n.s.	n.s.
Mrpl58	n.s.	n.s.
Mrpl9	n.s.	n.s.
Mrps10	n.s.	n.s.
Mrps11	n.s.	n.s.
Mrps12	n.s.	n.s.
Mrps14	n.s.	n.s.
Mrps15	n.s.	n.s.
Mrps16	n.s.	n.s.
Mrps17	n.s.	n.s.
Mrps18a	n.s.	n.s.
Mrps18b	n.s.	n.s.
Mrps18c	n.s.	n.s.
Mrps2	n.s.	n.s.
Mrps21	n.s.	n.s.
Mrps22	n.s.	n.s.
Mrps23	n.s.	n.s.
Mrps24	n.s.	n.s.
Mrps25	n.s.	n.s.
Mrps26	n.s.	n.s.
Mrps27	n.s.	n.s.
Mrps28	n.s.	n.s.
Mrps30	n.s.	n.s.
Mrps31	n.s.	n.s.
Mrps33	n.s.	n.s.
Mrps34	n.s.	n.s.
Mrps35	n.s.	n.s.
Mrps36	n.s.	n.s.
Mrps5	n.s.	n.s.
Mrps6	n.s.	n.s.
Mrps7	n.s.	n.s.
Mrps9	n.s.	n.s.
Mrrf	n.s.	n.s.
Mrs2	n.s.	n.s.
Mrto4	n.s.	n.s.
Mrvi1	n.s.	n.s.
Ms4a12	n.s.	n.s.
Ms4a14	n.s.	n.s.
Ms4a4b	n.s.	n.s.
Ms4a4c	n.s.	n.s.
Ms4a4d	n.s.	n.s.
Ms4a6b	n.s.	n.s.
Ms4a6d	n.s.	n.s.
Ms4a7	n.s.	n.s.
Msantd2	n.s.	n.s.
Msantd3	n.s.	n.s.
Msantd4	n.s.	n.s.
Msc	n.s.	n.s.
Msh2	n.s.	n.s.
Msh3	n.s.	n.s.
Msh5	n.s.	n.s.
Msh6	n.s.	n.s.
Msi1	n.s.	n.s.
Msi2	n.s.	n.s.
Msl1	n.s.	n.s.
Msl2	n.s.	n.s.
Msl3	n.s.	n.s.
Msl3l2	n.s.	n.s.
Msmo1	n.s.	n.s.
Msn	n.s.	n.s.
Msr1	n.s.	n.s.
Msra	n.s.	n.s.
Msrb1	n.s.	n.s.
Msrb2	n.s.	n.s.
Msrb3	n.s.	n.s.
Mst1	n.s.	n.s.
Mst1r	n.s.	n.s.
Msto1	n.s.	n.s.
Msx1	n.s.	n.s.
Msx3	n.s.	n.s.
Mt1	n.s.	n.s.
Mt2	n.s.	n.s.
Mta1	n.s.	n.s.
Mta2	n.s.	n.s.
Mta3	n.s.	n.s.
Mtap	n.s.	n.s.
Mtbp	n.s.	n.s.
Mtch1	n.s.	n.s.
Mtch2	n.s.	n.s.
Mtcl1	n.s.	n.s.
Mtcp1	n.s.	n.s.
Mtdh	n.s.	n.s.
Mterf2	n.s.	n.s.
Mterf3	n.s.	n.s.
Mterf4	n.s.	n.s.
Mtf1	n.s.	n.s.
Mtf2	n.s.	n.s.
Mtfmt	n.s.	n.s.
Mtfp1	n.s.	n.s.
Mtfr1	n.s.	n.s.
Mtfr1l	n.s.	n.s.
Mtg1	n.s.	n.s.
Mtg2	n.s.	n.s.
Mthfd1	n.s.	n.s.
Mthfd1l	n.s.	n.s.
Mthfd2	n.s.	n.s.
Mthfd2l	n.s.	n.s.
Mthfr	n.s.	n.s.
Mthfs	n.s.	n.s.
Mthfsd	n.s.	n.s.
Mthfsl	n.s.	n.s.
Mtif2	n.s.	n.s.
Mtif3	n.s.	n.s.
Mtm1	n.s.	n.s.
Mtmr1	n.s.	n.s.
Mtmr10	n.s.	n.s.
Mtmr11	n.s.	n.s.
Mtmr12	n.s.	n.s.
Mtmr14	n.s.	n.s.
Mtmr2	n.s.	n.s.
Mtmr3	n.s.	n.s.
Mtmr4	n.s.	n.s.
Mtmr6	n.s.	n.s.
Mtmr7	n.s.	n.s.
Mtmr9	n.s.	n.s.
Mtnr1a	n.s.	n.s.
Mto1	n.s.	n.s.
Mtor	n.s.	n.s.
Mtpap	n.s.	n.s.
Mtpn	n.s.	n.s.
Mtr	n.s.	n.s.
Mtrf1	n.s.	n.s.
Mtrf1l	n.s.	n.s.
Mtrr	n.s.	n.s.
Mtss1	n.s.	n.s.
Mtss1l	n.s.	n.s.
Mttp	n.s.	n.s.
Mturn	n.s.	n.s.
Mtus1	n.s.	n.s.
Mtus2	n.s.	n.s.
Mtx1	n.s.	n.s.
Mtx2	n.s.	n.s.
Mtx3	n.s.	n.s.
Muc1	n.s.	n.s.
Muc20	n.s.	n.s.
Muc4	n.s.	n.s.
Muc5ac	n.s.	n.s.
Muc5b	n.s.	n.s.
Muc6	n.s.	n.s.
Mul1	n.s.	n.s.
Mum1	n.s.	n.s.
Mum1l1	n.s.	n.s.
Mus81	n.s.	n.s.
Musk	n.s.	n.s.
Mustn1	n.s.	n.s.
Mut	n.s.	n.s.
Mutyh	n.s.	n.s.
Mvb12a	n.s.	n.s.
Mvb12b	n.s.	n.s.
Mvd	n.s.	n.s.
Mvk	n.s.	n.s.
Mvp	n.s.	n.s.
Mx1	n.s.	n.s.
Mx2	n.s.	n.s.
Mxd1	n.s.	n.s.
Mxd3	n.s.	n.s.
Mxd4	n.s.	n.s.
Mxi1	n.s.	n.s.
Mxra7	n.s.	n.s.
Mxra8	n.s.	n.s.
Myadm	n.s.	n.s.
Myb	n.s.	n.s.
Mybbp1a	n.s.	n.s.
Mybl1	n.s.	n.s.
Mybl2	n.s.	n.s.
Mybpc1	n.s.	n.s.
Myc	n.s.	n.s.
Mycbp	n.s.	n.s.
Mycbp2	n.s.	n.s.
Mycbpap	n.s.	n.s.
Mycl	n.s.	n.s.
Mycn	Down	n.s.
Myct1	n.s.	n.s.
Myd88	n.s.	n.s.
Mydgf	n.s.	n.s.
Myef2	n.s.	n.s.
Myg1	n.s.	n.s.
Myh1	n.s.	n.s.
Myh10	n.s.	n.s.
Myh11	n.s.	n.s.
Myh14	n.s.	n.s.
Myh7	n.s.	n.s.
Myh7b	n.s.	n.s.
Myh9	n.s.	n.s.
Myl10	n.s.	n.s.
Myl12a	n.s.	n.s.
Myl12b	n.s.	n.s.
Myl3	n.s.	n.s.
Myl4	n.s.	n.s.
Myl6	n.s.	n.s.
Myl6b	n.s.	n.s.
Myl9	n.s.	n.s.
Mylip	n.s.	n.s.
Mylk	n.s.	n.s.
Mylk2	n.s.	n.s.
Mylk4	n.s.	n.s.
Mynn	n.s.	n.s.
Myo10	n.s.	n.s.
Myo15	n.s.	n.s.
Myo15b	n.s.	n.s.
Myo16	n.s.	n.s.
Myo18a	n.s.	n.s.
Myo18b	n.s.	n.s.
Myo19	n.s.	n.s.
Myo1a	n.s.	n.s.
Myo1b	n.s.	n.s.
Myo1c	n.s.	n.s.
Myo1d	n.s.	n.s.
Myo1e	n.s.	n.s.
Myo1f	n.s.	n.s.
Myo1g	n.s.	n.s.
Myo1h	n.s.	n.s.
Myo5a	n.s.	n.s.
Myo5b	n.s.	n.s.
Myo5c	n.s.	n.s.
Myo6	n.s.	n.s.
Myo7a	n.s.	n.s.
Myo7b	n.s.	n.s.
Myo9a	n.s.	n.s.
Myo9b	n.s.	n.s.
Myoc	n.s.	n.s.
Myocd	n.s.	n.s.
Myod1	n.s.	n.s.
Myof	n.s.	n.s.
Myom1	n.s.	n.s.
Mypop	n.s.	n.s.
Mypopos	n.s.	n.s.
Myrf	n.s.	n.s.
Myrip	n.s.	n.s.
Mysm1	n.s.	n.s.
Myt1	n.s.	n.s.
Myt1l	n.s.	n.s.
Mzf1	n.s.	n.s.
Mzt1	n.s.	n.s.
Mzt2	n.s.	n.s.
N4bp1	n.s.	n.s.
N4bp2	n.s.	n.s.
N4bp2l1	n.s.	n.s.
N4bp2l2	n.s.	n.s.
N4bp3	n.s.	n.s.
N6amt1	n.s.	n.s.
NA	Down	Down
Naa10	n.s.	n.s.
Naa11	n.s.	n.s.
Naa15	n.s.	n.s.
Naa16	n.s.	n.s.
Naa20	n.s.	n.s.
Naa25	n.s.	n.s.
Naa30	n.s.	n.s.
Naa35	n.s.	n.s.
Naa38	n.s.	n.s.
Naa40	n.s.	n.s.
Naa50	n.s.	n.s.
Naa60	n.s.	n.s.
Naaa	n.s.	n.s.
Naalad2	n.s.	n.s.
Nab1	n.s.	n.s.
Nab2	n.s.	n.s.
Nabp1	n.s.	n.s.
Nabp2	n.s.	n.s.
Naca	n.s.	n.s.
Nacad	n.s.	n.s.
Nacc1	n.s.	n.s.
Nacc2	n.s.	n.s.
Nadk	n.s.	n.s.
Nadk2	n.s.	n.s.
Nadsyn1	n.s.	n.s.
Nae1	n.s.	n.s.
Naf1	n.s.	n.s.
Naga	n.s.	n.s.
Nagk	n.s.	n.s.
Naglu	n.s.	n.s.
Nagpa	n.s.	n.s.
Naif1	n.s.	n.s.
Naip1	n.s.	n.s.
Naip2	n.s.	n.s.
Naip5	n.s.	n.s.
Naip6,Naip7	n.s.	n.s.
Nalcn	n.s.	n.s.
Nampt	n.s.	n.s.
Nanos1	n.s.	n.s.
Nanp	n.s.	n.s.
Nans	n.s.	n.s.
Nap1l1	n.s.	n.s.
Nap1l2	n.s.	n.s.
Nap1l3	n.s.	n.s.
Nap1l4	n.s.	n.s.
Nap1l5	n.s.	n.s.
Napa	n.s.	n.s.
Napb	n.s.	n.s.
Napepld	n.s.	n.s.
Napg	n.s.	n.s.
Naprt	n.s.	n.s.
Narf	n.s.	n.s.
Narfl	n.s.	n.s.
Nars	n.s.	n.s.
Nars2	n.s.	n.s.
Nasp	n.s.	n.s.
Nat10	n.s.	n.s.
Nat14	n.s.	n.s.
Nat6	n.s.	n.s.
Nat8f1	n.s.	n.s.
Nat8f4	n.s.	n.s.
Nat8l	n.s.	n.s.
Nat9	n.s.	n.s.
Natd1	n.s.	n.s.
Nav1	n.s.	n.s.
Nav2	n.s.	n.s.
Nav3	n.s.	n.s.
Naxd	n.s.	n.s.
Naxe	n.s.	n.s.
Nbas	n.s.	n.s.
Nbdy	n.s.	n.s.
Nbea	n.s.	n.s.
Nbeal1	n.s.	n.s.
Nbeal2	n.s.	Up
Nbl1	n.s.	n.s.
Nbn	n.s.	n.s.
Nbr1	n.s.	n.s.
Ncald	n.s.	n.s.
Ncam1	n.s.	n.s.
Ncapd2	n.s.	n.s.
Ncapd3	n.s.	n.s.
Ncapg	n.s.	n.s.
Ncapg2	n.s.	n.s.
Ncaph	n.s.	n.s.
Ncaph2	n.s.	n.s.
Ncbp1	n.s.	n.s.
Ncbp2	n.s.	n.s.
Ncbp3	n.s.	n.s.
Ncdn	n.s.	n.s.
Nceh1	n.s.	n.s.
Ncf1	n.s.	n.s.
Ncf2	n.s.	n.s.
Nck1	n.s.	n.s.
Nck2	n.s.	n.s.
Nckap1	n.s.	n.s.
Nckap1l	n.s.	n.s.
Nckap5	n.s.	n.s.
Nckap5l	n.s.	n.s.
Nckipsd	n.s.	n.s.
Ncl	n.s.	n.s.
Ncln	n.s.	n.s.
Ncmap	n.s.	n.s.
Ncoa1	n.s.	n.s.
Ncoa2	n.s.	n.s.
Ncoa3	n.s.	n.s.
Ncoa4	n.s.	n.s.
Ncoa5	n.s.	n.s.
Ncoa6	n.s.	n.s.
Ncoa7	n.s.	n.s.
Ncor1	n.s.	n.s.
Ncor2	n.s.	n.s.
Ncs1	n.s.	n.s.
Ncstn	n.s.	n.s.
Nctc1	n.s.	n.s.
ND1	n.s.	n.s.
ND2	n.s.	n.s.
ND3	n.s.	n.s.
ND4	n.s.	n.s.
ND5	n.s.	n.s.
ND6	n.s.	n.s.
Ndc1	n.s.	n.s.
Ndc80	n.s.	n.s.
Nde1	n.s.	n.s.
Ndel1	n.s.	n.s.
Ndfip1	n.s.	n.s.
Ndfip2	n.s.	n.s.
Ndn	n.s.	n.s.
Ndnf	n.s.	n.s.
Ndor1	n.s.	n.s.
Ndp	n.s.	n.s.
Ndrg1	n.s.	n.s.
Ndrg2	n.s.	n.s.
Ndrg3	n.s.	n.s.
Ndrg4	n.s.	n.s.
Ndst1	n.s.	n.s.
Ndst2	n.s.	n.s.
Ndst3	n.s.	n.s.
Ndufa1	n.s.	n.s.
Ndufa10	n.s.	n.s.
Ndufa11,Gm4943	n.s.	n.s.
Ndufa12	n.s.	n.s.
Ndufa13	n.s.	n.s.
Ndufa2	n.s.	n.s.
Ndufa3	n.s.	n.s.
Ndufa4	n.s.	n.s.
